course	section	lesson_number	lesson_title	file_path	audit_status	severity	gaps	applied_fix	public_profile	notes
iOS	00-informe	1	Informe del Curso: Stack My Architecture iOS	00-informe/INFORME-CURSO.md	pendiente	NA			review_public	
iOS	00-informe	2	Decisiones tomadas durante el desarrollo del curso	00-informe/DECISIONES-TOMADAS.md	pendiente	NA			review_public	
iOS	00-informe	3	Backlog técnico del repositorio	00-informe/TODO.md	pendiente	NA			review_public	
iOS	00-core-mobile	1	Core Mobile Architecture	00-core-mobile/00-introduccion.md	fixed_wave2	P0_closed	convencion_flechas,jerarquia_headings,narrativa_mixta_es_en,cierre_fences_mermaid	normalizacion_4_flechas+limpieza_markers+refuerzo_pedagogico+headings_es+fence_fix	public_default	ETAPA0 corregida en caliente; pendiente QA visual final cross-theme.
iOS	00-core-mobile	2	Marco de decisiones arquitectónicas	00-core-mobile/01-marco-de-decisiones.md	fixed_wave2	P0_closed	convencion_flechas,jerarquia_headings,narrativa_mixta_es_en,cierre_fences_mermaid	normalizacion_4_flechas+limpieza_markers+refuerzo_pedagogico+headings_es+fence_fix	public_default	ETAPA0 corregida en caliente; pendiente QA visual final cross-theme.
iOS	00-core-mobile	3	Invariantes y contratos	00-core-mobile/02-invariantes-y-contratos.md	fixed_wave2	P0_closed	convencion_flechas,jerarquia_headings,narrativa_mixta_es_en,cierre_fences_mermaid	normalizacion_4_flechas+limpieza_markers+refuerzo_pedagogico+headings_es+fence_fix	public_default	ETAPA0 corregida en caliente; pendiente QA visual final cross-theme.
iOS	00-core-mobile	4	Variabilidad y evolución sin caos	00-core-mobile/03-variabilidad-y-evolucion.md	fixed_wave2	P0_closed	convencion_flechas,jerarquia_headings,narrativa_mixta_es_en,cierre_fences_mermaid	normalizacion_4_flechas+limpieza_markers+refuerzo_pedagogico+headings_es+fence_fix	public_default	ETAPA0 corregida en caliente; pendiente QA visual final cross-theme.
iOS	00-core-mobile	5	Calidad PR-ready	00-core-mobile/04-calidad-pr-ready.md	fixed_wave2	P0_closed	convencion_flechas,jerarquia_headings,narrativa_mixta_es_en,cierre_fences_mermaid	normalizacion_4_flechas+limpieza_markers+refuerzo_pedagogico+headings_es+fence_fix	public_default	ETAPA0 corregida en caliente; pendiente QA visual final cross-theme.
iOS	00-core-mobile	6	Observabilidad y operación	00-core-mobile/05-observabilidad-operacion.md	fixed_wave2	P0_closed	convencion_flechas,jerarquia_headings,narrativa_mixta_es_en,cierre_fences_mermaid	normalizacion_4_flechas+limpieza_markers+refuerzo_pedagogico+headings_es+fence_fix	public_default	ETAPA0 corregida en caliente; pendiente QA visual final cross-theme.
iOS	00-core-mobile	7	Release, rollback y feature flags	00-core-mobile/06-release-rollback-flags.md	fixed_wave2	P0_closed	convencion_flechas,jerarquia_headings,narrativa_mixta_es_en,cierre_fences_mermaid	normalizacion_4_flechas+limpieza_markers+refuerzo_pedagogico+headings_es+fence_fix	public_default	ETAPA0 corregida en caliente; pendiente QA visual final cross-theme.
iOS	00-core-mobile	8	APIs, contratos y versionado	00-core-mobile/07-apis-contratos-versionado.md	fixed_wave2	P0_closed	convencion_flechas,jerarquia_headings,narrativa_mixta_es_en,cierre_fences_mermaid	normalizacion_4_flechas+limpieza_markers+refuerzo_pedagogico+headings_es+fence_fix	public_default	ETAPA0 corregida en caliente; pendiente QA visual final cross-theme.
iOS	00-core-mobile	9	Seguridad, privacidad y threat modeling	00-core-mobile/08-seguridad-privacidad-threat-modeling.md	fixed_wave2	P0_closed	convencion_flechas,jerarquia_headings,narrativa_mixta_es_en,cierre_fences_mermaid	normalizacion_4_flechas+limpieza_markers+refuerzo_pedagogico+headings_es+fence_fix	public_default	ETAPA0 corregida en caliente; pendiente QA visual final cross-theme.
iOS	00-core-mobile	10	Dependency governance y supply chain	00-core-mobile/09-dependency-governance-supply-chain.md	fixed_wave2	P0_closed	convencion_flechas,jerarquia_headings,narrativa_mixta_es_en,cierre_fences_mermaid	normalizacion_4_flechas+limpieza_markers+refuerzo_pedagogico+headings_es+fence_fix	public_default	ETAPA0 corregida en caliente; pendiente QA visual final cross-theme.
iOS	00-core-mobile	11	Plantillas operativas (con ejemplos reales)	00-core-mobile/10-plantillas.md	fixed_wave2	P0_closed	convencion_flechas,jerarquia_headings,narrativa_mixta_es_en,cierre_fences_mermaid	normalizacion_4_flechas+limpieza_markers+refuerzo_pedagogico+headings_es+fence_fix	public_default	ETAPA0 corregida en caliente; pendiente QA visual final cross-theme.
iOS	00-core-mobile	12	Crosswalk iOS ↔ Android	00-core-mobile/11-crosswalk-ios-android.md	fixed_wave2	P0_closed	convencion_flechas,jerarquia_headings,narrativa_mixta_es_en,cierre_fences_mermaid	normalizacion_4_flechas+limpieza_markers+refuerzo_pedagogico+headings_es+fence_fix	public_default	ETAPA0 corregida en caliente; pendiente QA visual final cross-theme.
iOS	00-core-mobile	13	1) Purpose of This Document	00-core-mobile/12-mobile-architect-parity-ios-android.md	fixed_wave2	P0_closed	convencion_flechas,jerarquia_headings,narrativa_mixta_es_en,cierre_fences_mermaid	normalizacion_4_flechas+limpieza_markers+refuerzo_pedagogico+headings_es+fence_fix	public_default	ETAPA0 corregida en caliente; pendiente QA visual final cross-theme.
iOS	01-fundamentos	1	Introducción al curso	01-fundamentos/00-introduccion.md	fixed_wave3	P0_closed	convencion_flechas,cierre_fences_mermaid,markers_auto,consistencia_semantica	normalizacion_4_flechas+fence_fix+limpieza_markers_auto+alineacion_semantica_etapa1	public_default	ETAPA1 corregida en caliente; pendiente QA visual final cross-theme.
iOS	01-fundamentos	2	Setup: Preparación del entorno	01-fundamentos/00-setup.md	fixed_wave3	P0_closed	convencion_flechas,cierre_fences_mermaid,markers_auto,consistencia_semantica	normalizacion_4_flechas+fence_fix+limpieza_markers_auto+alineacion_semantica_etapa1	public_default	ETAPA1 corregida en caliente; pendiente QA visual final cross-theme.
iOS	01-fundamentos	3	Principios de ingeniería	01-fundamentos/01-principios-ingenieria.md	fixed_wave3	P0_closed	convencion_flechas,cierre_fences_mermaid,markers_auto,consistencia_semantica	normalizacion_4_flechas+fence_fix+limpieza_markers_auto+alineacion_semantica_etapa1	public_default	ETAPA1 corregida en caliente; pendiente QA visual final cross-theme.
iOS	01-fundamentos	4	Metodología BDD: especificación y descubrimiento	01-fundamentos/02-metodologia-bdd-tdd.md	fixed_wave3	P0_closed	convencion_flechas,cierre_fences_mermaid,markers_auto,consistencia_semantica	normalizacion_4_flechas+fence_fix+limpieza_markers_auto+alineacion_semantica_etapa1	public_default	ETAPA1 corregida en caliente; pendiente QA visual final cross-theme.
iOS	01-fundamentos	5	Metodología TDD: práctica Red-Green-Refactor	01-fundamentos/02-metodologia-tdd-practica.md	fixed_wave3	P0_closed	convencion_flechas,cierre_fences_mermaid,markers_auto,consistencia_semantica	normalizacion_4_flechas+fence_fix+limpieza_markers_auto+alineacion_semantica_etapa1	public_default	ETAPA1 corregida en caliente; pendiente QA visual final cross-theme.
iOS	01-fundamentos	6	Stack tecnológico	01-fundamentos/03-stack-tecnologico.md	fixed_wave3	P0_closed	convencion_flechas,cierre_fences_mermaid,markers_auto,consistencia_semantica	normalizacion_4_flechas+fence_fix+limpieza_markers_auto+alineacion_semantica_etapa1	public_default	ETAPA1 corregida en caliente; pendiente QA visual final cross-theme.
iOS	01-fundamentos	7	Estructura Feature-First: paso a paso en Xcode	01-fundamentos/04-estructura-feature-first.md	fixed_wave3	P0_closed	convencion_flechas,cierre_fences_mermaid,markers_auto,consistencia_semantica	normalizacion_4_flechas+fence_fix+limpieza_markers_auto+alineacion_semantica_etapa1	public_default	ETAPA1 corregida en caliente; pendiente QA visual final cross-theme.
iOS	01-fundamentos	8	Feature Login: Especificación BDD	01-fundamentos/05-feature-login/00-especificacion-bdd.md	fixed_wave3	P0_closed	convencion_flechas,cierre_fences_mermaid,markers_auto,consistencia_semantica	normalizacion_4_flechas+fence_fix+limpieza_markers_auto+alineacion_semantica_etapa1	public_default	ETAPA1 corregida en caliente; pendiente QA visual final cross-theme.
iOS	01-fundamentos	9	Feature Login: Capa Domain	01-fundamentos/05-feature-login/01-domain.md	fixed_wave3	P0_closed	convencion_flechas,cierre_fences_mermaid,markers_auto,consistencia_semantica	normalizacion_4_flechas+fence_fix+limpieza_markers_auto+alineacion_semantica_etapa1	public_default	ETAPA1 corregida en caliente; pendiente QA visual final cross-theme.
iOS	01-fundamentos	10	Feature Login: Capa Application	01-fundamentos/05-feature-login/02-application.md	fixed_wave3	P0_closed	convencion_flechas,cierre_fences_mermaid,markers_auto,consistencia_semantica	normalizacion_4_flechas+fence_fix+limpieza_markers_auto+alineacion_semantica_etapa1	public_default	ETAPA1 corregida en caliente; pendiente QA visual final cross-theme.
iOS	01-fundamentos	11	Feature Login: Capa Infrastructure	01-fundamentos/05-feature-login/03-infrastructure.md	fixed_wave3	P0_closed	convencion_flechas,cierre_fences_mermaid,markers_auto,consistencia_semantica	normalizacion_4_flechas+fence_fix+limpieza_markers_auto+alineacion_semantica_etapa1	public_default	ETAPA1 corregida en caliente; pendiente QA visual final cross-theme.
iOS	01-fundamentos	12	Feature Login: Capa Interface (SwiftUI)	01-fundamentos/05-feature-login/04-interface-swiftui.md	fixed_wave3	P0_closed	convencion_flechas,cierre_fences_mermaid,markers_auto,consistencia_semantica	normalizacion_4_flechas+fence_fix+limpieza_markers_auto+alineacion_semantica_etapa1	public_default	ETAPA1 corregida en caliente; pendiente QA visual final cross-theme.
iOS	01-fundamentos	13	Feature Login: Retrospectiva del ciclo TDD completo	01-fundamentos/05-feature-login/05-tdd-ciclo-completo.md	fixed_wave3	P0_closed	convencion_flechas,cierre_fences_mermaid,markers_auto,consistencia_semantica	normalizacion_4_flechas+fence_fix+limpieza_markers_auto+alineacion_semantica_etapa1	public_default	ETAPA1 corregida en caliente; pendiente QA visual final cross-theme.
iOS	01-fundamentos	14	ADR-001: Diseño de la Feature Login	01-fundamentos/05-feature-login/ADR-001-login.md	fixed_wave3	P0_closed	convencion_flechas,cierre_fences_mermaid,markers_auto,consistencia_semantica	normalizacion_4_flechas+fence_fix+limpieza_markers_auto+alineacion_semantica_etapa1	public_default	ETAPA1 corregida en caliente; pendiente QA visual final cross-theme.
iOS	01-fundamentos	15	Conectando la App: Tu Primera App Funcional	01-fundamentos/06-conectando-la-app.md	fixed_wave3	P0_closed	convencion_flechas,cierre_fences_mermaid,markers_auto,consistencia_semantica	normalizacion_4_flechas+fence_fix+limpieza_markers_auto+alineacion_semantica_etapa1	public_default	ETAPA1 corregida en caliente; pendiente QA visual final cross-theme.
iOS	01-fundamentos	16	Entregables — Etapa 1: Junior	01-fundamentos/entregables-etapa-1.md	fixed_wave3	P0_closed	convencion_flechas,cierre_fences_mermaid,markers_auto,consistencia_semantica	normalizacion_4_flechas+fence_fix+limpieza_markers_auto+alineacion_semantica_etapa1	public_default	ETAPA1 corregida en caliente; pendiente QA visual final cross-theme.
iOS	02-integracion	1	Etapa 2: Integración — Dos features que trabajan juntas sin acoplarse	02-integracion/00-introduccion.md	fixed_wave4	P0_closed	convencion_flechas,cierre_fences_mermaid,markers_auto,consistencia_semantica	normalizacion_4_flechas+fence_fix+limpieza_markers_auto+alineacion_semantica_etapa2	public_default	ETAPA2 corregida en caliente; pendiente QA visual final cross-theme.
iOS	02-integracion	2	Feature Catalog: Especificación BDD	02-integracion/01-feature-catalog/00-especificacion-bdd.md	fixed_wave4	P0_closed	convencion_flechas,cierre_fences_mermaid,markers_auto,consistencia_semantica	normalizacion_4_flechas+fence_fix+limpieza_markers_auto+alineacion_semantica_etapa2	public_default	ETAPA2 corregida en caliente; pendiente QA visual final cross-theme.
iOS	02-integracion	3	Feature Catalog: Capa Domain	02-integracion/01-feature-catalog/01-domain.md	fixed_wave4	P0_closed	convencion_flechas,cierre_fences_mermaid,markers_auto,consistencia_semantica	normalizacion_4_flechas+fence_fix+limpieza_markers_auto+alineacion_semantica_etapa2	public_default	ETAPA2 corregida en caliente; pendiente QA visual final cross-theme.
iOS	02-integracion	4	Feature Catalog: Capa Application	02-integracion/01-feature-catalog/02-application.md	fixed_wave4	P0_closed	convencion_flechas,cierre_fences_mermaid,markers_auto,consistencia_semantica	normalizacion_4_flechas+fence_fix+limpieza_markers_auto+alineacion_semantica_etapa2	public_default	ETAPA2 corregida en caliente; pendiente QA visual final cross-theme.
iOS	02-integracion	5	Feature Catalog: Capa Infrastructure	02-integracion/01-feature-catalog/03-infrastructure.md	fixed_wave4	P0_closed	convencion_flechas,cierre_fences_mermaid,markers_auto,consistencia_semantica	normalizacion_4_flechas+fence_fix+limpieza_markers_auto+alineacion_semantica_etapa2	public_default	ETAPA2 corregida en caliente; pendiente QA visual final cross-theme.
iOS	02-integracion	6	Feature Catalog: Capa Interface (SwiftUI)	02-integracion/01-feature-catalog/04-interface-swiftui.md	fixed_wave4	P0_closed	convencion_flechas,cierre_fences_mermaid,markers_auto,consistencia_semantica	normalizacion_4_flechas+fence_fix+limpieza_markers_auto+alineacion_semantica_etapa2	public_default	ETAPA2 corregida en caliente; pendiente QA visual final cross-theme.
iOS	02-integracion	7	Navegación por eventos: el AppCoordinator	02-integracion/02-navegacion-eventos.md	fixed_wave4	P0_closed	convencion_flechas,cierre_fences_mermaid,markers_auto,consistencia_semantica	normalizacion_4_flechas+fence_fix+limpieza_markers_auto+alineacion_semantica_etapa2	public_default	ETAPA2 corregida en caliente; pendiente QA visual final cross-theme.
iOS	02-integracion	8	Contratos entre features	02-integracion/03-contratos-features.md	fixed_wave4	P0_closed	convencion_flechas,cierre_fences_mermaid,markers_auto,consistencia_semantica	normalizacion_4_flechas+fence_fix+limpieza_markers_auto+alineacion_semantica_etapa2	public_default	ETAPA2 corregida en caliente; pendiente QA visual final cross-theme.
iOS	02-integracion	9	Infraestructura real: URLSessionHTTPClient	02-integracion/04-infra-real-network.md	fixed_wave4	P0_closed	convencion_flechas,cierre_fences_mermaid,markers_auto,consistencia_semantica	normalizacion_4_flechas+fence_fix+limpieza_markers_auto+alineacion_semantica_etapa2	public_default	ETAPA2 corregida en caliente; pendiente QA visual final cross-theme.
iOS	02-integracion	10	Integration Tests	02-integracion/05-integration-tests.md	fixed_wave4	P0_closed	convencion_flechas,cierre_fences_mermaid,markers_auto,consistencia_semantica	normalizacion_4_flechas+fence_fix+limpieza_markers_auto+alineacion_semantica_etapa2	public_default	ETAPA2 corregida en caliente; pendiente QA visual final cross-theme.
iOS	02-integracion	11	Composition Root: donde se ensambla todo	02-integracion/06-composition-root.md	fixed_wave4	P0_closed	convencion_flechas,cierre_fences_mermaid,markers_auto,consistencia_semantica	normalizacion_4_flechas+fence_fix+limpieza_markers_auto+alineacion_semantica_etapa2	public_default	ETAPA2 corregida en caliente; pendiente QA visual final cross-theme.
iOS	02-integracion	12	SwiftUI Enterprise: Patrones Imprescindibles	02-integracion/07-swiftui-enterprise.md	fixed_wave4	P0_closed	convencion_flechas,cierre_fences_mermaid,markers_auto,consistencia_semantica	normalizacion_4_flechas+fence_fix+limpieza_markers_auto+alineacion_semantica_etapa2	public_default	ETAPA2 corregida en caliente; pendiente QA visual final cross-theme.
iOS	02-integracion	13	Swift Concurrency Enterprise: Patrones Imprescindibles	02-integracion/08-swift-concurrency-enterprise.md	fixed_wave4	P0_closed	convencion_flechas,cierre_fences_mermaid,markers_auto,consistencia_semantica	normalizacion_4_flechas+fence_fix+limpieza_markers_auto+alineacion_semantica_etapa2	public_default	ETAPA2 corregida en caliente; pendiente QA visual final cross-theme.
iOS	02-integracion	14	App Final Etapa 2: Login + Catalog Funcionando Juntos	02-integracion/09-app-final-etapa-2.md	fixed_wave4	P0_closed	convencion_flechas,cierre_fences_mermaid,markers_auto,consistencia_semantica	normalizacion_4_flechas+fence_fix+limpieza_markers_auto+alineacion_semantica_etapa2	public_default	ETAPA2 corregida en caliente; pendiente QA visual final cross-theme.
iOS	02-integracion	15	ADR-002: Diseño de la Feature Catalog	02-integracion/01-feature-catalog/ADR-002-catalog.md	fixed_wave4	P0_closed	convencion_flechas,cierre_fences_mermaid,markers_auto,consistencia_semantica	normalizacion_4_flechas+fence_fix+limpieza_markers_auto+alineacion_semantica_etapa2	public_default	ETAPA2 corregida en caliente; pendiente QA visual final cross-theme.
iOS	02-integracion	16	Entregables — Etapa 2: Integración	02-integracion/entregables-etapa-2.md	fixed_wave4	P0_closed	convencion_flechas,cierre_fences_mermaid,markers_auto,consistencia_semantica	normalizacion_4_flechas+fence_fix+limpieza_markers_auto+alineacion_semantica_etapa2	public_default	ETAPA2 corregida en caliente; pendiente QA visual final cross-theme.
iOS	anexos	1	Consolidación: Etapa 2 - Integración	anexos/consolidacion-etapa-2-integracion.md	pendiente	NA			public_default	
iOS	03-evolucion	1	Etapa 3: Evolución — Resiliencia y calidad de producción	03-evolucion/00-introduccion.md	fixed_wave5	P0_closed	convencion_flechas,cierre_fences_mermaid,markers_auto,consistencia_semantica	normalizacion_4_flechas+fence_fix+limpieza_markers_auto+alineacion_semantica_etapa3	public_default	ETAPA3 corregida en caliente; pendiente QA visual final cross-theme.
iOS	03-evolucion	2	Caching y offline	03-evolucion/01-caching-offline.md	fixed_wave5	P0_closed	convencion_flechas,cierre_fences_mermaid,markers_auto,consistencia_semantica	normalizacion_4_flechas+fence_fix+limpieza_markers_auto+alineacion_semantica_etapa3	public_default	ETAPA3 corregida en caliente; pendiente QA visual final cross-theme.
iOS	03-evolucion	3	Consistencia e invalidación	03-evolucion/02-consistencia.md	fixed_wave5	P0_closed	convencion_flechas,cierre_fences_mermaid,markers_auto,consistencia_semantica	normalizacion_4_flechas+fence_fix+limpieza_markers_auto+alineacion_semantica_etapa3	public_default	ETAPA3 corregida en caliente; pendiente QA visual final cross-theme.
iOS	03-evolucion	4	Observabilidad	03-evolucion/03-observabilidad.md	fixed_wave5	P0_closed	convencion_flechas,cierre_fences_mermaid,markers_auto,consistencia_semantica	normalizacion_4_flechas+fence_fix+limpieza_markers_auto+alineacion_semantica_etapa3	public_default	ETAPA3 corregida en caliente; pendiente QA visual final cross-theme.
iOS	03-evolucion	5	Tests avanzados	03-evolucion/04-tests-avanzados.md	fixed_wave5	P0_closed	convencion_flechas,cierre_fences_mermaid,markers_auto,consistencia_semantica	normalizacion_4_flechas+fence_fix+limpieza_markers_auto+alineacion_semantica_etapa3	public_default	ETAPA3 corregida en caliente; pendiente QA visual final cross-theme.
iOS	03-evolucion	6	Trade-offs y riesgos	03-evolucion/05-trade-offs.md	fixed_wave5	P0_closed	convencion_flechas,cierre_fences_mermaid,markers_auto,consistencia_semantica	normalizacion_4_flechas+fence_fix+limpieza_markers_auto+alineacion_semantica_etapa3	public_default	ETAPA3 corregida en caliente; pendiente QA visual final cross-theme.
iOS	03-evolucion	7	SwiftData como ProductStore	03-evolucion/06-swiftdata-store.md	fixed_wave5	P0_closed	convencion_flechas,cierre_fences_mermaid,markers_auto,consistencia_semantica	normalizacion_4_flechas+fence_fix+limpieza_markers_auto+alineacion_semantica_etapa3	public_default	ETAPA3 corregida en caliente; pendiente QA visual final cross-theme.
iOS	03-evolucion	8	Backend Firebase: integración enterprise	03-evolucion/07-backend-firebase.md	fixed_wave5	P0_closed	convencion_flechas,cierre_fences_mermaid,markers_auto,consistencia_semantica	normalizacion_4_flechas+fence_fix+limpieza_markers_auto+alineacion_semantica_etapa3	public_default	ETAPA3 corregida en caliente; pendiente QA visual final cross-theme.
iOS	03-evolucion	9	Entregables — Etapa 3: Evolución	03-evolucion/entregables-etapa-3.md	fixed_wave5	P0_closed	convencion_flechas,cierre_fences_mermaid,markers_auto,consistencia_semantica	normalizacion_4_flechas+fence_fix+limpieza_markers_auto+alineacion_semantica_etapa3	public_default	ETAPA3 corregida en caliente; pendiente QA visual final cross-theme.
iOS	anexos	2	Calentamiento: Etapa 3 - Evolución	anexos/calentamiento-etapa-3-evolucion.md	pendiente	NA			public_default	
iOS	04-arquitecto	1	Etapa 4: Arquitecto — Plataforma y gobernanza	04-arquitecto/00-introduccion.md	pendiente	NA			public_default	
iOS	04-arquitecto	2	Bounded Contexts	04-arquitecto/01-bounded-contexts.md	pendiente	NA			public_default	
iOS	04-arquitecto	3	Reglas de dependencia y CI	04-arquitecto/02-reglas-dependencia-ci.md	pendiente	NA			public_default	
iOS	04-arquitecto	4	Navegación y deep links como plataforma	04-arquitecto/03-navegacion-deeplinks.md	pendiente	NA			public_default	
iOS	04-arquitecto	5	Versionado y SPM	04-arquitecto/04-versionado-spm.md	pendiente	NA			public_default	
iOS	04-arquitecto	6	Guía de arquitectura del repositorio	04-arquitecto/05-guia-arquitectura.md	pendiente	NA			public_default	
iOS	04-arquitecto	7	Quality Gates	04-arquitecto/06-quality-gates.md	pendiente	NA			public_default	
